Sl.no,Vehicle Number,Country,Latt/lang,Coordinates,Latitude,Longitude,Population_Density,GDP_PPP
1,DR4565,TOGO,"(6.150916,1.166555)","6.150916,1.166555",6.150916,1.166555,193,1327984.1
2,DR1718,TOGO,"(6.163551,1.156542)","6.163551,1.156542",6.163551,1.156542,193,512840.28
3,DO7016,TOGO,"(6.163138,1.15666)","6.163138,1.15666",6.163138,1.15666,193,512840.28
4,DR5419,TOGO,"(6.155077,1.159183)","6.155077,1.159183",6.155077,1.159183,193,1327984.1
5,DO6972,TOGO,"(6.154688,1.161805)","6.154688,1.161805",6.154688,1.161805,193,1327984.1
6,DN3265,TOGO,"(6.152704,1.161169)","6.152704,1.161169",6.152704,1.161169,193,1327984.1
7,DR5064,TOGO,"(6.144164,1.122943)","6.144164,1.122943",6.144164,1.122943,193,685588.4
8,DR9249,TOGO,"(6.161927,1.105068)","6.161927,1.105068",6.161927,1.105068,193,1186810.8
9,DK9249,TOGO ,"(6.174103,1.098332)","6.174103,1.098332",6.174103,1.098332,161,276601.7
10,DO6974,TOGO,"(6.17363,1.098345)","6.17363,1.098345",6.17363,1.098345,161,276601.7
11,DR9157,TOGO,"(6.147175,1.122872)","6.147175,1.122872",6.147175,1.122872,193,685588.4
12,DN5969,TOGO,"(6.176179,1.1013)","6.176179,1.1013",6.176179,1.1013,193,181740.5
13,DS1659,TOGO,"(6.174038,1.107)","6.174038,1.107",6.174038,1.107,193,276601.7
14,DR1799,TOGO,"(6.164237,1.109303)","6.164237,1.109303",6.164237,1.109303,193,826758.94
15,DR9223,TOGO,"(6.16846,1.104825)","6.16846,1.104825",6.16846,1.104825,193,276601.7
16,DO7440,TOGO,"(6.173224,1.108132)","6.173224,1.108132",6.173224,1.108132,193,276601.7
17,DP0145,TOGO ,"(6.174499,1.107583)","6.174499,1.107583",6.174499,1.107583,193,276601.7
18,DN0648,TOGO,"(6.172227,1.108667)","6.172227,1.108667",6.172227,1.108667,193,127428.36
19,DL4997,TOGO,"(6.170989,1.104111)","6.170989,1.104111",6.170989,1.104111,193,276601.7
20,DL5082,TOGO,"(6.259214,1.031297)","6.259214,1.031297",6.259214,1.031297,140,1600615.8
21,DL4273,TOGO ,"(6.265865,1.026368)","6.265865,1.026368",6.265865,1.026368,140,1600615.8
22,DN0749,TOGO,"(6.664171,1.598221)","6.664171,1.598221",6.664171,1.598221,136,
23,DM3396,TOGO,"(6.139732,1.176487)","6.139732,1.176487",6.139732,1.176487,193,1323512.5
24,DO6969,TOGO,"(6.144182,1.17649)","6.144182,1.17649",6.144182,1.17649,193,762796.5
25,DS0303,TOGO,"(6.141067,1.179543)","6.141067,1.179543",6.141067,1.179543,193,1323512.5
26,DL1825,TOGO ,"(6.14747,1.176573)","6.14747,1.176573",6.14747,1.176573,193,762796.5
27,DR7343,TOGO,"(6.172981,1.114347)","6.172981,1.114347",6.172981,1.114347,193,127428.36
28,DR6668,TOGO,"(6.168272,1.123651)","6.168272,1.123651",6.168272,1.123651,193,813498.8
29,DO9276,TOGO,"(6.174733,1.126112)","6.174733,1.126112",6.174733,1.126112,193,1137040.2
30,DR7380,TOGO,"(6.172797,1.12272)","6.172797,1.12272",6.172797,1.12272,193,813498.8
31,DL5809,TOGO ,"(6.177536,1.122198)","6.177536,1.122198",6.177536,1.122198,193,1955612.0
32,DS1640,TOGO,"(6.171332,1.117292)","6.171332,1.117292",6.171332,1.117292,193,813498.8
33,DN0764,TOGO,"(6.169902,1.125283)","6.169902,1.125283",6.169902,1.125283,193,1137040.2
34,DP3537,TOGO,"(7.035547,1.648152)","7.035547,1.648152",7.035547,1.648152,126,66592.125
35,DM3208,TOGO,"(6.898702,0.566157)","6.898702,0.566157",6.898702,0.566157,128,300343.78
36,DP5957,TOGO,"(6.153183,1.147687)","6.153183,1.147687",6.153183,1.147687,193,278041.22
37,DM0292,TOGO ,"(6.161845,1.15105)","6.161845,1.15105",6.161845,1.15105,193,512840.28
38,DR1820,TOGO ,"(6.122497,1.187065)","6.122497,1.187065",6.122497,1.187065,193,7182917.0
39,DG2476,TOGO,"(6.419428,2.262993)","6.419428,2.262993",6.419428,2.262993,162,697863.0
40,DR1737,TOGO,"(6.239312,1.056244)","6.239312,1.056244",6.239312,1.056244,140,3675.7424
41,DO9244,TOGO,"(6.239332,1.055351)","6.239332,1.055351",6.239332,1.055351,140,3675.7424
42,DP9363,TOGO,"(6.22714,0.995298)","6.22714,0.995298",6.22714,0.995298,161,5737631.0
43,DP0625,TOGO ,"(6.162488,1.189583)","6.162488,1.189583",6.162488,1.189583,193,2078621.2
44,DP9393,TOGO,"(6.226782,1.00317)","6.226782,1.00317",6.226782,1.00317,140,5737631.0
45,DP9406,TOGO,"(6.226739,1.003098)","6.226739,1.003098",6.226739,1.003098,140,5737631.0
46,DT0482,TOGO,"(6.166547,1.08823)","6.166547,1.08823",6.166547,1.08823,161,5855315.0
47,DR9182,TOGO,"(6.192614,1.060528)","6.192614,1.060528",6.192614,1.060528,161,428868.0
48,DO9181,TOGO,"(6.17721,1.097817)","6.17721,1.097817",6.17721,1.097817,161,181740.5
49,DR4548,Togo ,"(6.162572,1.094372)","6.162572,1.094372",6.162572,1.094372,161,1186810.8
50,DO9247,TOGO,"(6.18021,1.088172)","6.18021,1.088172",6.18021,1.088172,161,205002.84
51,DL8583,TOGO ,"(6.180188,1.091068)","6.180188,1.091068",6.180188,1.091068,161,205002.84
52,DM3176,TOGO,"(6.178298,1.089192)","6.178298,1.089192",6.178298,1.089192,161,205002.84
53,DS1619,TOGO,"(6.175885,1.091522)","6.175885,1.091522",6.175885,1.091522,161,205002.84
54,DR6680,TOGO,"(6.17395,1.091627)","6.17395,1.091627",6.17395,1.091627,161,955183.7
55,DL2914,TOGO ,"(6.172692,1.133805)","6.172692,1.133805",6.172692,1.133805,193,1251275.9
56,DL4125,TOGO ,"(6.175517,1.133033)","6.175517,1.133033",6.175517,1.133033,193,1648451.0
57,DR4674,Togo ,"(6.166023,1.135186)","6.166023,1.135186",6.166023,1.135186,193,782098.0
58,DL5748,TOGO ,"(6.173488,1.134785)","6.173488,1.134785",6.173488,1.134785,193,1251275.9
59,DR9100,TOGO,"(6.165226,1.135492)","6.165226,1.135492",6.165226,1.135492,193,782098.0
60,DR6833,TOGO,"(6.167535,1.134755)","6.167535,1.134755",6.167535,1.134755,193,1251275.9
61,DR6810,TOGO,"(6.153362,1.154245)","6.153362,1.154245",6.153362,1.154245,193,278041.22
62,DR1817,TOGO ,"(6.1122,1.16841)","6.1122,1.16841",6.1122,1.16841,193,3039434.5
63,DR5534,TOGO,"(6.572463,1.667802)","6.572463,1.667802",6.572463,1.667802,152,435845.47
64,DK1636,TOGO ,"(6.262972,1.208597)","6.262972,1.208597",6.262972,1.208597,131,2287501.8
65,DM0163,TOGO ,"(6.265187,1.209595)","6.265187,1.209595",6.265187,1.209595,131,2287501.8
66,DR5496,TOGO,"(6.267669,1.154548)","6.267669,1.154548",6.267669,1.154548,223,1759265.6
67,DO9096,TOGO,"(6.238802,1.204242)","6.238802,1.204242",6.238802,1.204242,131,4741836.5
68,DO7018,TOGO,"(6.23888,1.204464)","6.23888,1.204464",6.23888,1.204464,131,4741836.5
69,DR1707,TOGO,"(6.238737,1.204316)","6.238737,1.204316",6.238737,1.204316,131,4741836.5
70,DO7693,TOGO,"(6.238845,1.204338)","6.238845,1.204338",6.238845,1.204338,131,4741836.5
71,DL7354,TOGO ,"(6.238698,1.204577)","6.238698,1.204577",6.238698,1.204577,131,4741836.5
72,DL5731,TOGO,"(6.238729,1.204505)","6.238729,1.204505",6.238729,1.204505,131,4741836.5
73,DL2983,TOGO ,"(6.238835,1.204292)","6.238835,1.204292",6.238835,1.204292,131,4741836.5
74,DL4194,TOGO ,"(6.238952,1.204378)","6.238952,1.204378",6.238952,1.204378,131,4741836.5
75,DO6072,TOGO,"(6.238815,1.204472)","6.238815,1.204472",6.238815,1.204472,131,4741836.5
76,DP3461,TOGO,"(6.239411,1.205356)","6.239411,1.205356",6.239411,1.205356,131,4741836.5
77,DM5635,TOGO,"(6.238928,1.2044)","6.238928,1.2044",6.238928,1.2044,131,4741836.5
78,DO6998,TOGO,"(6.238875,1.204288)","6.238875,1.204288",6.238875,1.204288,131,4741836.5
79,DP9405,TOGO,"(6.23882,1.204277)","6.23882,1.204277",6.23882,1.204277,131,4741836.5
80,DR1622,TOGO,"(6.238756,1.204394)","6.238756,1.204394",6.238756,1.204394,131,4741836.5
81,DO7622,TOGO,"(6.238953,1.204365)","6.238953,1.204365",6.238953,1.204365,131,4741836.5
82,DO9265,TOGO,"(6.238739,1.204513)","6.238739,1.204513",6.238739,1.204513,131,4741836.5
83,DL7303,TOGO ,"(6.238895,1.204397)","6.238895,1.204397",6.238895,1.204397,131,4741836.5
84,DG9908 ,TOGO,"(6.23878,1.204287)","6.23878,1.204287",6.23878,1.204287,131,4741836.5
85,DS0113,TOGO,"(6.238777,1.204236)","6.238777,1.204236",6.238777,1.204236,131,4741836.5
86,DR6710,TOGO,"(6.24426,1.131765)","6.24426,1.131765",6.24426,1.131765,223,480666.53
87,DR9090,TOGO,"(6.245007,1.13044)","6.245007,1.13044",6.245007,1.13044,223,480666.53
88,DN0676,TOGO,"(6.23882,1.204248)","6.23882,1.204248",6.23882,1.204248,131,4741836.5
89,DK5141,TOGO ,"(6.239008,1.204237)","6.239008,1.204237",6.239008,1.204237,131,4741836.5
90,DK6440,TOGO ,"(6.23892,1.203307)","6.23892,1.203307",6.23892,1.203307,131,4741836.5
91,DO9237,TOGO,"(6.588687,1.494022)","6.588687,1.494022",6.588687,1.494022,136,1941523.6
92,DL5075,TOGO,"(6.588706,1.494021)","6.588706,1.494021",6.588706,1.494021,136,1941523.6
93,DR5556,TOGO,"(6.58886,1.494043)","6.58886,1.494043",6.58886,1.494043,136,1941523.6
94,DO6077,TOGO,"(6.589113,1.49367)","6.589113,1.49367",6.589113,1.49367,136,1941523.6
95,DR5478,TOGO,"(6.588775,1.494055)","6.588775,1.494055",6.588775,1.494055,136,1941523.6
96,DO9280,TOGO,"(6.588817,1.494085)","6.588817,1.494085",6.588817,1.494085,136,1941523.6
97,DK6460,TOGO ,"(6.254785,1.169687)","6.254785,1.169687",6.254785,1.169687,223,1994694.5
98,DM3259,TOGO,"(6.214488,1.207853)","6.214488,1.207853",6.214488,1.207853,131,4278608.0
99,DM0306,TOGO ,"(6.19309,1.129897)","6.19309,1.129897",6.19309,1.129897,193,2671884.8
100,DL9080,TOGO ,"(6.253592,1.208933)","6.253592,1.208933",6.253592,1.208933,131,2704674.5
101,DP9507,TOGO,"(6.255756,1.208345)","6.255756,1.208345",6.255756,1.208345,131,2704674.5
102,DS1677,TOGO,"(6.129982,1.203742)","6.129982,1.203742",6.129982,1.203742,223,7159548.5
103,DS1611,TOGO,"(6.130405,1.202167)","6.130405,1.202167",6.130405,1.202167,223,7159548.5
104,DL7282,TOGO ,"(6.129292,1.201892)","6.129292,1.201892",6.129292,1.201892,223,7159548.5
105,DR1662,TOGO,"(6.263428,1.035915)","6.263428,1.035915",6.263428,1.035915,140,6953080.0
106,DO7475,TOGO,"(6.263369,1.03585)","6.263369,1.03585",6.263369,1.03585,140,6953080.0
107,DO7008,TOGO,"(6.263396,1.035905)","6.263396,1.035905",6.263396,1.035905,140,6953080.0
108,DR4578,TOGO,"(6.297334,1.213162)","6.297334,1.213162",6.297334,1.213162,131,177735.53
109,DR3424,TOGO,"(6.297273,1.213036)","6.297273,1.213036",6.297273,1.213036,131,177735.53
110,DP5945,TOGO,"(6.297383,1.212877)","6.297383,1.212877",6.297383,1.212877,131,177735.53
111,DP5962,TOGO,"(6.297367,1.213089)","6.297367,1.213089",6.297367,1.213089,131,177735.53
112,DP3538,TOGO,"(6.297158,1.21317)","6.297158,1.21317",6.297158,1.21317,131,177735.53
113,DO7176,TOGO,"(6.296983,1.213537)","6.296983,1.213537",6.296983,1.213537,131,177735.53
114,DT0610,TOGO,"(6.297642,1.212908)","6.297642,1.212908",6.297642,1.212908,131,177735.53
115,DT0446,TOGO,"(6.297146,1.212983)","6.297146,1.212983",6.297146,1.212983,131,177735.53
116,DO9160,TOGO,"(6.297087,1.212724)","6.297087,1.212724",6.297087,1.212724,131,177735.53
117,DR5428,TOGO,"(6.297273,1.21291)","6.297273,1.21291",6.297273,1.21291,131,177735.53
118,DO6987,TOGO,"(6.297303,1.213332)","6.297303,1.213332",6.297303,1.213332,131,177735.53
119,DO6951,TOGO,"(6.297177,1.213421)","6.297177,1.213421",6.297177,1.213421,131,177735.53
120,DP4603,TOGO,"(6.297335,1.213281)","6.297335,1.213281",6.297335,1.213281,131,177735.53
121,DT0561,TOGO,"(6.297095,1.212681)","6.297095,1.212681",6.297095,1.212681,131,177735.53
122,DO9264,TOGO,"(6.297341,1.213191)","6.297341,1.213191",6.297341,1.213191,131,177735.53
123,DT0419,TOGO,"(6.29742,1.213162)","6.29742,1.213162",6.29742,1.213162,131,177735.53
124,DR9103,TOGO,"(6.297335,1.213104)","6.297335,1.213104",6.297335,1.213104,131,177735.53
125,DT0516,TOGO,"(6.297169,1.212805)","6.297169,1.212805",6.297169,1.212805,131,177735.53
126,DM3212,TOGO,"(6.297308,1.213127)","6.297308,1.213127",6.297308,1.213127,131,177735.53
127,DR5577,TOGO,"(6.297388,1.213385)","6.297388,1.213385",6.297388,1.213385,131,177735.53
128,DT0627,TOGO,"(6.297345,1.212821)","6.297345,1.212821",6.297345,1.212821,131,177735.53
129,DR3813,TOGO,"(6.297244,1.212873)","6.297244,1.212873",6.297244,1.212873,131,177735.53
130,DT0628,TOGO,"(6.297438,1.213085)","6.297438,1.213085",6.297438,1.213085,131,177735.53
131,DO9259,TOGO,"(6.297455,1.213105)","6.297455,1.213105",6.297455,1.213105,131,177735.53
132,DT0612,TOGO,"(6.29744,1.212853)","6.29744,1.212853",6.29744,1.212853,131,177735.53
133,DS1652,TOGO,"(6.297145,1.212957)","6.297145,1.212957",6.297145,1.212957,131,177735.53
134,DT0527,TOGO,"(6.297418,1.213139)","6.297418,1.213139",6.297418,1.213139,131,177735.53
135,DT0385,TOGO,"(6.297412,1.213064)","6.297412,1.213064",6.297412,1.213064,131,177735.53
136,DT0622,TOGO,"(6.297328,1.213006)","6.297328,1.213006",6.297328,1.213006,131,177735.53
137,DT0625,TOGO,"(6.297133,1.212962)","6.297133,1.212962",6.297133,1.212962,131,177735.53
138,DT0402,TOGO,"(6.297533,1.213217)","6.297533,1.213217",6.297533,1.213217,131,177735.53
139,DT0447,TOGO,"(6.297544,1.213005)","6.297544,1.213005",6.297544,1.213005,131,177735.53
140,DR5060,TOGO,"(6.297154,1.213167)","6.297154,1.213167",6.297154,1.213167,131,177735.53
141,DR0215,TOGO,"(6.297314,1.21298)","6.297314,1.21298",6.297314,1.21298,131,177735.53
142,DR1550,TOGO,"(6.297185,1.213254)","6.297185,1.213254",6.297185,1.213254,131,177735.53
143,DT0517,TOGO,"(6.297401,1.213196)","6.297401,1.213196",6.297401,1.213196,131,177735.53
144,DT0557,TOGO,"(6.297431,1.21304)","6.297431,1.21304",6.297431,1.21304,131,177735.53
145,DR4552,Togo ,"(6.29732,1.21286)","6.29732,1.21286",6.29732,1.21286,131,177735.53
146,DR6720,TOGO,"(6.297236,1.213302)","6.297236,1.213302",6.297236,1.213302,131,177735.53
147,DT0412,TOGO,"(6.297387,1.213065)","6.297387,1.213065",6.297387,1.213065,131,177735.53
148,DT0583,TOGO,"(6.297361,1.21295)","6.297361,1.21295",6.297361,1.21295,131,177735.53
149,DR0169,TOGO,"(6.297248,1.21318)","6.297248,1.21318",6.297248,1.21318,131,177735.53
150,DP3992,TOGO,"(6.297465,1.213359)","6.297465,1.213359",6.297465,1.213359,131,177735.53
151,DR3891,TOGO,"(6.297146,1.213067)","6.297146,1.213067",6.297146,1.213067,131,177735.53
152,DP3425,TOGO,"(6.296995,1.213257)","6.296995,1.213257",6.296995,1.213257,131,177735.53
153,DT0484,TOGO,"(6.297367,1.213005)","6.297367,1.213005",6.297367,1.213005,131,177735.53
154,DT0435,TOGO,"(6.297557,1.21317)","6.297557,1.21317",6.297557,1.21317,131,177735.53
155,DR4539,Togo ,"(6.29718,1.212816)","6.29718,1.212816",6.29718,1.212816,131,177735.53
156,DR0200,TOGO,"(6.297338,1.212734)","6.297338,1.212734",6.297338,1.212734,131,177735.53
157,DN5943,TOGO,"(6.297389,1.213155)","6.297389,1.213155",6.297389,1.213155,131,177735.53
158,DP9411,TOGO,"(6.297065,1.212861)","6.297065,1.212861",6.297065,1.212861,131,177735.53
159,DR7948,TOGO,"(6.297172,1.2128)","6.297172,1.2128",6.297172,1.2128,131,177735.53
160,DP9503,TOGO,"(6.297415,1.213308)","6.297415,1.213308",6.297415,1.213308,131,177735.53
161,DT0584,TOGO,"(6.297076,1.21267)","6.297076,1.21267",6.297076,1.21267,131,177735.53
162,DM3402,TOGO,"(6.297545,1.212985)","6.297545,1.212985",6.297545,1.212985,131,177735.53
163,DR1606,TOGO,"(6.297432,1.213227)","6.297432,1.213227",6.297432,1.213227,131,177735.53
164,DR3486,TOGO,"(6.297381,1.213202)","6.297381,1.213202",6.297381,1.213202,131,177735.53
165,DO7174,TOGO,"(6.297187,1.21285)","6.297187,1.21285",6.297187,1.21285,131,177735.53
166,DP4602,TOGO,"(6.297229,1.213137)","6.297229,1.213137",6.297229,1.213137,131,177735.53
167,DR5490,TOGO,"(6.297161,1.212741)","6.297161,1.212741",6.297161,1.212741,131,177735.53
168,DL8827,TOGO ,"(6.297135,1.212835)","6.297135,1.212835",6.297135,1.212835,131,177735.53
169,DL7293,TOGO ,"(6.297073,1.212997)","6.297073,1.212997",6.297073,1.212997,131,177735.53
170,DM6931,TOGO,"(6.297088,1.213382)","6.297088,1.213382",6.297088,1.213382,131,177735.53
171,DM0068,TOGO ,"(6.297255,1.212818)","6.297255,1.212818",6.297255,1.212818,131,177735.53
172,DL7285,TOGO ,"(6.297027,1.213158)","6.297027,1.213158",6.297027,1.213158,131,177735.53
173,DO7179,TOGO,"(6.297264,1.213149)","6.297264,1.213149",6.297264,1.213149,131,177735.53
174,DM3180,TOGO,"(6.297278,1.212822)","6.297278,1.212822",6.297278,1.212822,131,177735.53
175,DO7006,TOGO,"(6.29699,1.212785)","6.29699,1.212785",6.29699,1.212785,131,177735.53
176,DO6973,TOGO,"(6.297205,1.212795)","6.297205,1.212795",6.297205,1.212795,131,177735.53
177,DO6065,TOGO,"(6.297404,1.213424)","6.297404,1.213424",6.297404,1.213424,131,177735.53
178,DO7039,TOGO,"(6.296969,1.213145)","6.296969,1.213145",6.296969,1.213145,131,177735.53
179,DO7036,TOGO,"(6.297548,1.212896)","6.297548,1.212896",6.297548,1.212896,131,177735.53
180,DO9176,TOGO,"(6.296892,1.212895)","6.296892,1.212895",6.296892,1.212895,131,177735.53
181,DO7692,TOGO,"(6.297546,1.212938)","6.297546,1.212938",6.297546,1.212938,131,177735.53
182,DP3439,TOGO,"(6.297138,1.21316)","6.297138,1.21316",6.297138,1.21316,131,177735.53
183,DP4598,TOGO,"(6.297284,1.213121)","6.297284,1.213121",6.297284,1.213121,131,177735.53
184,DR5459,TOGO,"(6.297315,1.213105)","6.297315,1.213105",6.297315,1.213105,131,177735.53
185,DM0337,TOGO ,"(6.297047,1.212787)","6.297047,1.212787",6.297047,1.212787,131,177735.53
186,DO6927,TOGO,"(6.297016,1.212966)","6.297016,1.212966",6.297016,1.212966,131,177735.53
187,DT0451,TOGO,"(6.297403,1.212914)","6.297403,1.212914",6.297403,1.212914,131,177735.53
188,DT0562,TOGO,"(6.29749,1.212983)","6.29749,1.212983",6.29749,1.212983,131,177735.53
189,DO6057,TOGO,"(6.297078,1.213299)","6.297078,1.213299",6.297078,1.213299,131,177735.53
190,DP4570,TOGO,"(6.297255,1.213121)","6.297255,1.213121",6.297255,1.213121,131,177735.53
191,DR4592,TOGO,"(6.297352,1.213024)","6.297352,1.213024",6.297352,1.213024,131,177735.53
192,DR0134,TOGO,"(6.297446,1.213912)","6.297446,1.213912",6.297446,1.213912,131,177735.53
193,DR6779,TOGO,"(6.297225,1.212819)","6.297225,1.212819",6.297225,1.212819,131,177735.53
194,DR3884,TOGO,"(6.297295,1.213115)","6.297295,1.213115",6.297295,1.213115,131,177735.53
195,DT0631,TOGO,"(6.297331,1.212945)","6.297331,1.212945",6.297331,1.212945,131,177735.53
196,DR3847,TOGO,"(6.297187,1.213253)","6.297187,1.213253",6.297187,1.213253,131,177735.53
197,DR3836,TOGO,"(6.297503,1.212998)","6.297503,1.212998",6.297503,1.212998,131,177735.53
198,DR6939,TOGO,"(6.297124,1.212879)","6.297124,1.212879",6.297124,1.212879,131,177735.53
199,DL0120,TOGO ,"(6.297246,1.21282)","6.297246,1.21282",6.297246,1.21282,131,177735.53
200,DR0100,TOGO,"(6.297332,1.21324)","6.297332,1.21324",6.297332,1.21324,131,177735.53
201,DO6081,TOGO,"(6.297293,1.213335)","6.297293,1.213335",6.297293,1.213335,131,177735.53
202,DM5358,TOGO,"(6.297388,1.213219)","6.297388,1.213219",6.297388,1.213219,131,177735.53
203,DR4532,TOGO,"(6.29739,1.21319)","6.29739,1.21319",6.29739,1.21319,131,177735.53
204,DR1609,TOGO,"(6.297206,1.213177)","6.297206,1.213177",6.297206,1.213177,131,177735.53
205,DP6180,TOGO,"(6.297285,1.213182)","6.297285,1.213182",6.297285,1.213182,131,177735.53
206,DT0520,TOGO,"(6.297382,1.213187)","6.297382,1.213187",6.297382,1.213187,131,177735.53
207,DP5974,TOGO,"(6.297226,1.212941)","6.297226,1.212941",6.297226,1.212941,131,177735.53
208,DO9239,TOGO,"(6.29708,1.213088)","6.29708,1.213088",6.29708,1.213088,131,177735.53
209,DR3498,TOGO,"(6.297259,1.212878)","6.297259,1.212878",6.297259,1.212878,131,177735.53
210,DR1592,TOGO,"(6.29724,1.212865)","6.29724,1.212865",6.29724,1.212865,131,177735.53
211,DR0031,TOGO,"(6.297242,1.212887)","6.297242,1.212887",6.297242,1.212887,131,177735.53
212,DR0203,TOGO,"(6.297115,1.212683)","6.297115,1.212683",6.297115,1.212683,131,177735.53
213,DP4554,TOGO,"(6.297217,1.212891)","6.297217,1.212891",6.297217,1.212891,131,177735.53
214,DT0632,TOGO,"(6.297424,1.2131)","6.297424,1.2131",6.297424,1.2131,131,177735.53
215,DR1745,TOGO,"(6.297261,1.212851)","6.297261,1.212851",6.297261,1.212851,131,177735.53
216,DL5375,TOGO,"(6.297508,1.212968)","6.297508,1.212968",6.297508,1.212968,131,177735.53
217,DT0590,TOGO,"(6.297592,1.213095)","6.297592,1.213095",6.297592,1.213095,131,177735.53
218,DT0420,TOGO,"(6.297428,1.212925)","6.297428,1.212925",6.297428,1.212925,131,177735.53
219,DR4517,TOGO,"(6.297883,1.21225)","6.297883,1.21225",6.297883,1.21225,131,177735.53
220,DN0646,TOGO,"(6.296866,1.213118)","6.296866,1.213118",6.296866,1.213118,131,177735.53
221,DM0160,TOGO ,"(6.29756,1.21287)","6.29756,1.21287",6.29756,1.21287,131,177735.53
222,DP5956,TOGO,"(6.297065,1.212716)","6.297065,1.212716",6.297065,1.212716,131,177735.53
223,DP5943,TOGO,"(6.297296,1.213304)","6.297296,1.213304",6.297296,1.213304,131,177735.53
224,DP4636,TOGO,"(6.297075,1.212708)","6.297075,1.212708",6.297075,1.212708,131,177735.53
225,DM5538,TOGO,"(6.297078,1.213029)","6.297078,1.213029",6.297078,1.213029,131,177735.53
226,DM5548,TOGO,"(6.297343,1.212943)","6.297343,1.212943",6.297343,1.212943,131,177735.53
227,DL2812,TOGO,"(6.29744,1.212797)","6.29744,1.212797",6.29744,1.212797,131,177735.53
228,DL8590,TOGO ,"(6.29702,1.212777)","6.29702,1.212777",6.29702,1.212777,131,177735.53
229,DN3281,TOGO,"(6.296766,1.212788)","6.296766,1.212788",6.296766,1.212788,131,177735.53
230,DN0756,TOGO,"(6.296818,1.213186)","6.296818,1.213186",6.296818,1.213186,131,177735.53
231,DM5541,TOGO,"(6.297655,1.213594)","6.297655,1.213594",6.297655,1.213594,131,177735.53
232,DL5788,TOGO ,"(6.297265,1.213383)","6.297265,1.213383",6.297265,1.213383,131,177735.53
233,DM7487,TOGO,"(6.297527,1.213327)","6.297527,1.213327",6.297527,1.213327,131,177735.53
234,DN3364,TOGO,"(6.297075,1.212739)","6.297075,1.212739",6.297075,1.212739,131,177735.53
235,DN0649,TOGO,"(6.297261,1.213124)","6.297261,1.213124",6.297261,1.213124,131,177735.53
236,DN3064,TOGO,"(6.297425,1.213207)","6.297425,1.213207",6.297425,1.213207,131,177735.53
237,DM7536,TOGO,"(6.297093,1.21302)","6.297093,1.21302",6.297093,1.21302,131,177735.53
238,DN0670,TOGO,"(6.297274,1.213283)","6.297274,1.213283",6.297274,1.213283,131,177735.53
239,DN6006,TOGO,"(6.297288,1.212936)","6.297288,1.212936",6.297288,1.212936,131,177735.53
240,DN3335,TOGO,"(6.297413,1.212729)","6.297413,1.212729",6.297413,1.212729,131,177735.53
241,DL4186,TOGO ,"(6.297033,1.212955)","6.297033,1.212955",6.297033,1.212955,131,177735.53
242,DM3226,TOGO,"(6.296962,1.212923)","6.296962,1.212923",6.296962,1.212923,131,177735.53
243,DM5546,TOGO,"(6.296867,1.21305)","6.296867,1.21305",6.296867,1.21305,131,177735.53
244,DM3336,TOGO,"(6.296988,1.212877)","6.296988,1.212877",6.296988,1.212877,131,177735.53
245,DL5429,TOGO,"(6.297068,1.21271)","6.297068,1.21271",6.297068,1.21271,131,177735.53
246,DR3508,TOGO,"(6.297302,1.212769)","6.297302,1.212769",6.297302,1.212769,131,177735.53
247,DR3811,TOGO,"(6.297316,1.21313)","6.297316,1.21313",6.297316,1.21313,131,177735.53
248,DR1697,TOGO,"(6.29734,1.212776)","6.29734,1.212776",6.29734,1.212776,131,177735.53
249,DN0642,TOGO,"(6.297486,1.212972)","6.297486,1.212972",6.297486,1.212972,131,177735.53
250,DR3465,Togo ,"(6.297223,1.213119)","6.297223,1.213119",6.297223,1.213119,131,177735.53
251,DR1752,TOGO,"(6.297246,1.212757)","6.297246,1.212757",6.297246,1.212757,131,177735.53
252,DM3173,TOGO,"(6.297539,1.213131)","6.297539,1.213131",6.297539,1.213131,131,177735.53
253,DP4559,TOGO,"(6.297468,1.213)","6.297468,1.213",6.297468,1.213,131,177735.53
254,DO8998,TOGO,"(6.298439,1.21238)","6.298439,1.21238",6.298439,1.21238,131,177735.53
255,DR1796,TOGO,"(6.29725,1.213187)","6.29725,1.213187",6.29725,1.213187,131,177735.53
256,DO9217,TOGO,"(6.297174,1.212909)","6.297174,1.212909",6.297174,1.212909,131,177735.53
257,DO9269,TOGO,"(6.297242,1.212868)","6.297242,1.212868",6.297242,1.212868,131,177735.53
258,DR1603,TOGO,"(6.297341,1.213062)","6.297341,1.213062",6.297341,1.213062,131,177735.53
259,DP5979,TOGO,"(6.297253,1.213106)","6.297253,1.213106",6.297253,1.213106,131,177735.53
260,DR3460,TOGO,"(6.297436,1.213087)","6.297436,1.213087",6.297436,1.213087,131,177735.53
261,DP4573,TOGO,"(6.297378,1.213093)","6.297378,1.213093",6.297378,1.213093,131,177735.53
262,DP3600,TOGO,"(6.297253,1.213008)","6.297253,1.213008",6.297253,1.213008,131,177735.53
263,DM7462,TOGO,"(6.296891,1.213097)","6.296891,1.213097",6.296891,1.213097,131,177735.53
264,DM5542,TOGO,"(6.29672,1.212922)","6.29672,1.212922",6.29672,1.212922,131,177735.53
265,DK6449,TOGO ,"(6.297582,1.21293)","6.297582,1.21293",6.297582,1.21293,131,177735.53
266,DM5557,TOGO,"(6.297155,1.212764)","6.297155,1.212764",6.297155,1.212764,131,177735.53
