Sl.no,Vehicle Number,Country,Latt/lang,Coordinates,Latitude,Longitude,Population_Density,GDP_PPP
2165,DL4993,TOGO,"(6.194297,1.20071)","6.194297,1.20071",6.194297,1.20071,223,4519108.5
2166,DP4604,TOGO,"(6.253694,1.132258)","6.253694,1.132258",6.253694,1.132258,223,548049.6
2167,DL2842,TOGO ,"(6.223289,1.163597)","6.223289,1.163597",6.223289,1.163597,223,1797972.5
2168,DR0177,TOGO,"(6.211162,1.168882)","6.211162,1.168882",6.211162,1.168882,223,3532257.2
2169,DR6801,TOGO,"(6.163832,1.22162)","6.163832,1.22162",6.163832,1.22162,223,7939256.0
2170,DL5708,TOGO ,"(6.247087,1.175023)","6.247087,1.175023",6.247087,1.175023,223,2839039.0
2171,DO7175,TOGO,"(6.201323,1.135932)","6.201323,1.135932",6.201323,1.135932,223,3607267.0
2172,DS0073,TOGO,"(6.187318,1.37485)","6.187318,1.37485",6.187318,1.37485,255,2660769.8
2173,DL5005,TOGO,"(6.141559,1.209262)","6.141559,1.209262",6.141559,1.209262,223,8257845.0
2174,DM3178,TOGO,"(6.266657,1.141719)","6.266657,1.141719",6.266657,1.141719,223,545384.25
2175,DO7423,TOGO,"(6.152222,1.232432)","6.152222,1.232432",6.152222,1.232432,223,11020459.0
2176,DP6167,TOGO,"(6.17321,1.198486)","6.17321,1.198486",6.17321,1.198486,193,9997250.0
2177,DP6247,TOGO,"(6.13742,1.218279)","6.13742,1.218279",6.13742,1.218279,223,10153493.0
2178,DM3267,TOGO,"(6.18918,1.263912)","6.18918,1.263912",6.18918,1.263912,223,5479253.5
2179,DN0751,TOGO,"(6.205663,1.399256)","6.205663,1.399256",6.205663,1.399256,147,202580.62
2180,DL2910,TOGO ,"(6.320738,1.216922)","6.320738,1.216922",6.320738,1.216922,129,3168164.8
2181,DL2916,TOGO ,"(6.237092,1.136282)","6.237092,1.136282",6.237092,1.136282,223,1076484.1
2182,DP6145,TOGO,"(6.239868,1.138909)","6.239868,1.138909",6.239868,1.138909,223,1076484.1
2183,DN3408,TOGO,"(6.248446,1.17592)","6.248446,1.17592",6.248446,1.17592,223,2839039.0
2184,DP0155,TOGO ,"(6.122,1.206705)","6.122,1.206705",6.122,1.206705,223,8459693.0
2185,DM7363,TOGO,"(6.177853,1.200182)","6.177853,1.200182",6.177853,1.200182,223,11114146.0
2186,DO6086,TOGO,"(6.18438,1.183375)","6.18438,1.183375",6.18438,1.183375,193,4789845.5
2187,DL6867,TOGO ,"(6.132504,1.235993)","6.132504,1.235993",6.132504,1.235993,223,4614352.5
2188,DP0879,TOGO ,"(6.396547,1.211918)","6.396547,1.211918",6.396547,1.211918,129,255316.89
2189,DO7463,TOGO,"(6.207095,1.177428)","6.207095,1.177428",6.207095,1.177428,223,4661469.0
2190,DS1983,TOGO,"(6.229273,1.211957)","6.229273,1.211957",6.229273,1.211957,131,4734318.5
2191,DP6118,TOGO,"(6.22578,1.212744)","6.22578,1.212744",6.22578,1.212744,131,4734318.5
2192,DR5566,TOGO,"(6.204097,1.130247)","6.204097,1.130247",6.204097,1.130247,223,2096451.5
2193,DL5667,TOGO ,"(6.201462,1.138063)","6.201462,1.138063",6.201462,1.138063,223,3607267.0
2194,DL4934,TOGO,"(6.207756,1.145858)","6.207756,1.145858",6.207756,1.145858,223,3187537.0
2195,DR3442,TOGO,"(6.207824,1.145922)","6.207824,1.145922",6.207824,1.145922,223,3187537.0
2196,DN3369,TOGO,"(6.192641,1.199654)","6.192641,1.199654",6.192641,1.199654,193,4519108.5
2197,DO7111,TOGO,"(6.197597,1.389645)","6.197597,1.389645",6.197597,1.389645,255,3412013.5
2198,DL2982,TOGO ,"(6.193275,1.1993)","6.193275,1.1993",6.193275,1.1993,193,4519108.5
2199,DS1951,TOGO,"(6.248802,1.122282)","6.248802,1.122282",6.248802,1.122282,223,472786.3
2200,DT0453,TOGO,"(6.224242,1.164163)","6.224242,1.164163",6.224242,1.164163,223,1797972.5
2201,DM0155,TOGO ,"(6.192722,1.139727)","6.192722,1.139727",6.192722,1.139727,193,3920736.8
2202,DL5711,TOGO ,"(6.245898,1.212993)","6.245898,1.212993",6.245898,1.212993,131,2351691.2
2203,DR1630,TOGO,"(6.122707,1.20789)","6.122707,1.20789",6.122707,1.20789,223,8459693.0
2204,DR9237,TOGO,"(6.207132,1.242713)","6.207132,1.242713",6.207132,1.242713,131,3081039.5
2205,DS1969,TOGO,"(6.177852,1.20629)","6.177852,1.20629",6.177852,1.20629,223,11114146.0
2206,DP6087,TOGO,"(6.163086,1.225115)","6.163086,1.225115",6.163086,1.225115,223,8700911.0
2207,DM5362,TOGO,"(6.152342,1.235692)","6.152342,1.235692",6.152342,1.235692,223,8607797.0
2208,DL8838,TOGO ,"(6.186773,1.195767)","6.186773,1.195767",6.186773,1.195767,193,4763339.0
2209,DM7364,TOGO,"(6.177822,1.200171)","6.177822,1.200171",6.177822,1.200171,223,11114146.0
2210,DR0171,TOGO,"(6.178455,1.200227)","6.178455,1.200227",6.178455,1.200227,223,11114146.0
2211,DR6821,TOGO,"(6.247533,1.260443)","6.247533,1.260443",6.247533,1.260443,131,537037.4
2212,DP6244,TOGO,"(6.144637,1.233143)","6.144637,1.233143",6.144637,1.233143,223,9944774.0
2213,DM5607,TOGO,"(6.179455,1.362095)","6.179455,1.362095",6.179455,1.362095,255,8176083.0
2214,DR9114,TOGO,"(6.195233,1.165264)","6.195233,1.165264",6.195233,1.165264,193,4114228.0
2215,DR9233,TOGO,"(6.202305,1.140816)","6.202305,1.140816",6.202305,1.140816,223,3607267.0
2216,DL5722,TOGO ,"(6.192767,1.199733)","6.192767,1.199733",6.192767,1.199733,193,4519108.5
2217,DL5698,TOGO ,"(6.191741,1.19135)","6.191741,1.19135",6.191741,1.19135,193,4683281.0
2218,DO9086,TOGO,"(6.170191,1.163782)","6.170191,1.163782",6.170191,1.163782,193,7493468.5
2219,DL2961,TOGO,"(6.338491,1.210375)","6.338491,1.210375",6.338491,1.210375,129,6726.7026
2220,DL5079,TOGO,"(6.337348,1.217578)","6.337348,1.217578",6.337348,1.217578,129,632201.4
2221,DL6992,TOGO ,"(6.161895,1.214992)","6.161895,1.214992",6.161895,1.214992,223,7836536.0
2222,DL2998,TOGO,"(6.264175,1.170813)","6.264175,1.170813",6.264175,1.170813,223,2316833.2
2223,DN3325,TOGO,"(6.129628,1.211968)","6.129628,1.211968",6.129628,1.211968,223,11003694.0
2224,DP4014,TOGO,"(6.162713,1.270585)","6.162713,1.270585",6.162713,1.270585,223,8323222.5
2225,DR4973,TOGO,"(6.172022,1.247212)","6.172022,1.247212",6.172022,1.247212,223,7171222.0
2226,DR4977,TOGO,"(6.168899,1.312054)","6.168899,1.312054",6.168899,1.312054,255,8328413.5
2227,DO7690,TOGO,"(6.154856,1.190515)","6.154856,1.190515",6.154856,1.190515,193,483556.03
2228,DS2044,TOGO,"(6.161413,1.207274)","6.161413,1.207274",6.161413,1.207274,223,7419761.5
2229,DL6893,TOGO ,"(6.206707,1.17632)","6.206707,1.17632",6.206707,1.17632,223,4661469.0
2230,DL1938,TOGO ,"(6.230617,1.195435)","6.230617,1.195435",6.230617,1.195435,223,4548336.0
2231,DM5381,TOGO,"(6.20173,1.135535)","6.20173,1.135535",6.20173,1.135535,223,3607267.0
2232,DO6999,TOGO,"(6.184158,1.281298)","6.184158,1.281298",6.184158,1.281298,223,1501356.1
2233,DM0162,TOGO ,"(6.191312,1.198958)","6.191312,1.198958",6.191312,1.198958,193,4763339.0
2234,DR1770,TOGO,"(6.180667,1.16608)","6.180667,1.16608",6.180667,1.16608,193,5979166.0
2235,DR3492,TOGO,"(6.177509,1.180748)","6.177509,1.180748",6.177509,1.180748,193,10776098.0
2236,DL2950,TOGO,"(6.182941,1.170147)","6.182941,1.170147",6.182941,1.170147,193,8416057.0
2237,DR5470,TOGO,"(6.35282,1.208753)","6.35282,1.208753",6.35282,1.208753,129,
2238,DP9360,TOGO,"(6.250402,1.137313)","6.250402,1.137313",6.250402,1.137313,223,642518.5
2239,DP0876,TOGO ,"(6.22782,1.176988)","6.22782,1.176988",6.22782,1.176988,223,3268283.0
2240,DR9137,TOGO,"(6.260645,1.176583)","6.260645,1.176583",6.260645,1.176583,223,1298507.2
2241,DP5987,TOGO,"(6.258282,1.177827)","6.258282,1.177827",6.258282,1.177827,223,1264071.1
2242,DS1535,TOGO,"(6.244827,1.167335)","6.244827,1.167335",6.244827,1.167335,223,1650312.6
2243,DM0283,TOGO ,"(6.193594,1.121355)","6.193594,1.121355",6.193594,1.121355,193,2238850.5
2244,DR3833,TOGO,"(6.129523,1.211872)","6.129523,1.211872",6.129523,1.211872,223,11003694.0
2245,DP0688,TOGO ,"(6.12164,1.204627)","6.12164,1.204627",6.12164,1.204627,223,8459693.0
2246,DR9170,TOGO,"(6.210916,1.43952)","6.210916,1.43952",6.210916,1.43952,158,555565.06
2247,DR3481,TOGO,"(6.206502,1.423782)","6.206502,1.423782",6.206502,1.423782,158,1519006.8
2248,DK3805,TOGO ,"(6.199098,1.241658)","6.199098,1.241658",6.199098,1.241658,223,5810229.0
2249,DP0580,TOGO ,"(6.18762,1.251443)","6.18762,1.251443",6.18762,1.251443,223,7944532.0
2250,DP4563,TOGO,"(6.178068,1.310058)","6.178068,1.310058",6.178068,1.310058,255,6552769.0
2251,DL7289,TOGO ,"(6.13303,1.240303)","6.13303,1.240303",6.13303,1.240303,223,4614352.5
2252,DK9275,TOGO ,"(6.17518,1.182575)","6.17518,1.182575",6.17518,1.182575,193,10776098.0
2253,DN5950,TOGO,"(6.179225,1.199979)","6.179225,1.199979",6.179225,1.199979,193,11114146.0
2254,DR9280,TOGO,"(6.242115,1.261642)","6.242115,1.261642",6.242115,1.261642,131,537037.4
2255,DR4637,TOGO,"(6.131413,1.220733)","6.131413,1.220733",6.131413,1.220733,223,7933881.5
2256,DL0131,TOGO ,"(6.430015,1.206522)","6.430015,1.206522",6.430015,1.206522,129,2280623.8
2257,DR1664,TOGO ,"(6.14761,1.201895)","6.14761,1.201895",6.14761,1.201895,223,9342061.0
2258,DP4617,TOGO,"(6.164659,1.196035)","6.164659,1.196035",6.164659,1.196035,193,7419761.5
2259,DL5379,TOGO,"(6.16242,1.206373)","6.16242,1.206373",6.16242,1.206373,223,7419761.5
2260,DO9233,TOGO,"(6.202687,1.168357)","6.202687,1.168357",6.202687,1.168357,223,4133373.5
2261,DL1836,TOGO,"(6.20591,1.18618)","6.20591,1.18618",6.20591,1.18618,223,4779426.0
2262,DP5993,TOGO,"(6.193496,1.188311)","6.193496,1.188311",6.193496,1.188311,193,4683281.0
2263,DL2959,TOGO,"(6.355013,1.217875)","6.355013,1.217875",6.355013,1.217875,129,103991.63
2264,DL1955,TOGO ,"(6.324153,1.215095)","6.324153,1.215095",6.324153,1.215095,129,418233.06
2265,DP5988,TOGO,"(6.219533,1.138765)","6.219533,1.138765",6.219533,1.138765,223,1502250.6
2266,DO9213,TOGO,"(6.244403,1.121562)","6.244403,1.121562",6.244403,1.121562,223,472786.3
2267,DR9186,TOGO,"(6.23209,1.165833)","6.23209,1.165833",6.23209,1.165833,223,2072166.0
2268,DS2039,TOGO,"(6.185387,1.134023)","6.185387,1.134023",6.185387,1.134023,193,3598585.2
2269,DR3471,TOGO,"(6.168173,1.287287)","6.168173,1.287287",6.168173,1.287287,223,8322287.0
2270,DP9506,TOGO,"(6.183943,1.366057)","6.183943,1.366057",6.183943,1.366057,255,4114416.2
2271,DP6147,TOGO,"(6.210203,1.43941)","6.210203,1.43941",6.210203,1.43941,158,555565.06
2272,DL8837,TOGO ,"(6.162292,1.225222)","6.162292,1.225222",6.162292,1.225222,223,8700911.0
2273,DO7188,TOGO,"(6.178912,1.181907)","6.178912,1.181907",6.178912,1.181907,193,10776098.0
2274,DP0615,TOGO ,"(6.172187,1.196872)","6.172187,1.196872",6.172187,1.196872,193,9997250.0
2275,DK9257,TOGO ,"(6.17536,1.182605)","6.17536,1.182605",6.17536,1.182605,193,10776098.0
2276,DM0136,TOGO ,"(6.16044,1.207638)","6.16044,1.207638",6.16044,1.207638,223,7419761.5
2277,DM0290,TOGO ,"(6.205753,1.174397)","6.205753,1.174397",6.205753,1.174397,223,4133373.5
2278,DP0157,TOGO ,"(6.203917,1.131107)","6.203917,1.131107",6.203917,1.131107,223,2096451.5
2279,DL5072,TOGO,"(6.205245,1.399579)","6.205245,1.399579",6.205245,1.399579,147,202580.62
2280,DL4198,TOGO ,"(6.318682,1.22145)","6.318682,1.22145",6.318682,1.22145,129,3168164.8
